mt5_date,prev_bar_mt5,next_bar_mt5,gap_seconds,missing_m5_bar_estimate
2019.06.11,2019.06.11 23:10:00,2019.06.11 23:30:00,1200,3
2019.06.12,2019.06.12 23:10:00,2019.06.12 23:30:00,1200,3
2019.06.13,2019.06.13 23:10:00,2019.06.13 23:30:00,1200,3
2019.06.17,2019.06.17 23:10:00,2019.06.17 23:30:00,1200,3
2019.06.18,2019.06.18 23:10:00,2019.06.18 23:30:00,1200,3
2019.06.19,2019.06.19 23:10:00,2019.06.19 23:30:00,1200,3
2019.06.20,2019.06.20 23:10:00,2019.06.20 23:30:00,1200,3
2019.06.24,2019.06.24 23:10:00,2019.06.24 23:30:00,1200,3
2019.06.25,2019.06.25 23:10:00,2019.06.25 23:30:00,1200,3
2019.06.26,2019.06.26 23:10:00,2019.06.26 23:30:00,1200,3
2019.06.27,2019.06.27 23:10:00,2019.06.27 23:30:00,1200,3
2019.07.01,2019.07.01 01:20:00,2019.07.01 02:55:00,5700,18
2019.07.01,2019.07.01 23:10:00,2019.07.01 23:30:00,1200,3
2019.07.02,2019.07.02 23:10:00,2019.07.02 23:30:00,1200,3
2019.07.08,2019.07.08 23:10:00,2019.07.08 23:30:00,1200,3
2019.07.09,2019.07.09 23:10:00,2019.07.09 23:30:00,1200,3
2019.07.10,2019.07.10 23:10:00,2019.07.10 23:30:00,1200,3
2019.07.11,2019.07.11 23:10:00,2019.07.11 23:30:00,1200,3
2019.07.15,2019.07.15 23:10:00,2019.07.15 23:30:00,1200,3
2019.07.16,2019.07.16 23:10:00,2019.07.16 23:30:00,1200,3
2019.07.17,2019.07.17 23:10:00,2019.07.17 23:30:00,1200,3
2019.07.18,2019.07.18 23:10:00,2019.07.18 23:30:00,1200,3
2019.07.22,2019.07.22 23:10:00,2019.07.22 23:30:00,1200,3
2019.07.23,2019.07.23 23:10:00,2019.07.23 23:30:00,1200,3
2019.07.24,2019.07.24 23:10:00,2019.07.24 23:30:00,1200,3
2019.07.25,2019.07.25 23:10:00,2019.07.25 23:30:00,1200,3
2019.07.29,2019.07.29 23:10:00,2019.07.29 23:30:00,1200,3
2019.07.30,2019.07.30 23:10:00,2019.07.30 23:30:00,1200,3
